Node 1,Node 2,edge
d,d,0.0
d,0,0.0
d,0,10000.0
d,1,10000.0
d,2,10000.0
d,3,10000.0
d,4,10000.0
d,5,10000.0
d,6,10000.0
d,7,10000.0
d,8,10000.0
d,9,10000.0
d,10,10000.0
d,11,10000.0
d,12,10000.0
d,13,10000.0
d,14,10000.0
d,15,10000.0
d,16,10000.0
d,17,10000.0
d,18,10000.0
d,19,10000.0
d,20,10000.0
d,21,10000.0
d,22,10000.0
d,23,10000.0
d,24,10000.0
d,25,10000.0
d,26,10000.0
d,27,10000.0
d,28,10000.0
d,29,10000.0
d,30,10000.0
d,31,10000.0
d,32,10000.0
d,33,10000.0
d,34,10000.0
d,35,10000.0
d,36,10000.0
d,37,10000.0
d,38,10000.0
d,39,10000.0
d,40,10000.0
d,41,10000.0
d,42,10000.0
d,43,10000.0
d,44,10000.0
d,45,10000.0
d,46,10000.0
d,47,10000.0
d,48,10000.0
d,49,10000.0
0,d,0.0
0,0,10000.0
0,1,1.0
0,2,10000.0
0,3,10000.0
0,4,10000.0
0,5,10000.0
0,6,100.0
0,7,10000.0
0,8,10000.0
0,9,10000.0
0,10,10000.0
0,11,10000.0
0,12,10000.0
0,13,10000.0
0,14,10000.0
0,15,10000.0
0,16,10000.0
0,17,10000.0
0,18,10000.0
0,19,10000.0
0,20,10000.0
0,21,10000.0
0,22,10000.0
0,23,10000.0
0,24,10000.0
0,25,10000.0
0,26,10000.0
0,27,10000.0
0,28,10000.0
0,29,10000.0
0,30,10000.0
0,31,10000.0
0,32,10000.0
0,33,10000.0
0,34,10000.0
0,35,10000.0
0,36,10000.0
0,37,10000.0
0,38,10000.0
0,39,10000.0
0,40,10000.0
0,41,10000.0
0,42,10000.0
0,43,10000.0
0,44,10000.0
0,45,10000.0
0,46,10000.0
0,47,10000.0
0,48,10000.0
0,49,10000.0
1,d,0.0
1,0,10000.0
1,1,10000.0
1,2,1.0
1,3,10000.0
1,4,10000.0
1,5,10000.0
1,6,10000.0
1,7,100.0
1,8,10000.0
1,9,10000.0
1,10,10000.0
1,11,10000.0
1,12,10000.0
1,13,10000.0
1,14,10000.0
1,15,10000.0
1,16,10000.0
1,17,10000.0
1,18,10000.0
1,19,10000.0
1,20,10000.0
1,21,10000.0
1,22,10000.0
1,23,10000.0
1,24,10000.0
1,25,10000.0
1,26,10000.0
1,27,10000.0
1,28,10000.0
1,29,10000.0
1,30,10000.0
1,31,10000.0
1,32,10000.0
1,33,10000.0
1,34,10000.0
1,35,10000.0
1,36,10000.0
1,37,10000.0
1,38,10000.0
1,39,10000.0
1,40,10000.0
1,41,10000.0
1,42,10000.0
1,43,10000.0
1,44,10000.0
1,45,10000.0
1,46,10000.0
1,47,10000.0
1,48,10000.0
1,49,10000.0
2,d,0.0
2,0,10000.0
2,1,10000.0
2,2,10000.0
2,3,1.0
2,4,10000.0
2,5,10000.0
2,6,10000.0
2,7,10000.0
2,8,100.0
2,9,10000.0
2,10,10000.0
2,11,10000.0
2,12,10000.0
2,13,10000.0
2,14,10000.0
2,15,10000.0
2,16,10000.0
2,17,10000.0
2,18,10000.0
2,19,10000.0
2,20,10000.0
2,21,10000.0
2,22,10000.0
2,23,10000.0
2,24,10000.0
2,25,10000.0
2,26,10000.0
2,27,10000.0
2,28,10000.0
2,29,10000.0
2,30,10000.0
2,31,10000.0
2,32,10000.0
2,33,10000.0
2,34,10000.0
2,35,10000.0
2,36,10000.0
2,37,10000.0
2,38,10000.0
2,39,10000.0
2,40,10000.0
2,41,10000.0
2,42,10000.0
